DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
77,2012-02-16,2012-02-17,-0.00281725,2012-02-16,1 days,1 days
78,2012-02-22,2012-10-01,-0.16125534999999963,2012-04-30,222 days,154 days
79,2012-10-05,2013-09-10,-0.12604975000000093,2013-04-17,340 days,146 days
80,2013-09-12,2013-09-19,-0.014493599999999628,2013-09-12,7 days,7 days
81,2013-09-20,2015-11-10,-0.20349840000000038,2014-01-24,781 days,655 days
82,2015-11-11,2015-11-13,-0.0027736499999999067,2015-11-11,2 days,2 days
83,2015-11-16,2015-11-18,-0.009630900000000372,2015-11-17,2 days,1 days
84,2015-11-19,2016-01-20,-0.05374004999999982,2015-12-22,62 days,29 days
85,2016-01-22,2018-09-24,-0.17947434999999962,2016-10-28,976 days,696 days
86,2018-09-25,2018-09-27,-0.00754375,2018-09-25,2 days,2 days
87,2018-10-01,2018-10-03,-0.0097825,2018-10-01,2 days,2 days
88,2018-10-08,2018-10-09,-0.0028983500000000933,2018-10-08,1 days,1 days
89,2018-10-10,2018-10-11,-0.013772850000000093,2018-10-10,1 days,1 days
90,2018-10-12,2018-10-22,-0.030739799999999814,2018-10-16,10 days,6 days
91,2018-10-24,2018-10-25,-0.007339149999999907,2018-10-24,1 days,1 days
92,2018-10-29,2018-11-09,-0.020916350000000094,2018-10-29,11 days,11 days
93,2018-11-12,2018-11-15,-0.011510399999999907,2018-11-12,3 days,3 days
94,2018-11-20,2018-11-30,-0.02337119999999972,2018-11-22,10 days,8 days
95,2018-12-04,2020-03-18,-0.26486659999999634,2020-02-24,470 days,23 days
96,2020-03-20,2020-03-23,-0.04603080000000028,2020-03-20,3 days,3 days
97,2020-03-24,2020-04-30,-0.11551689999999991,2020-04-08,37 days,22 days
98,2020-05-04,2020-12-02,-0.19404185000000057,2020-10-01,212 days,62 days
