DD_number,DD_start_date,DD_end_date,Max_dd,Max_dd_date,DD_period,DD_recovery_period
132,2017-11-16,2018-01-15,-0.038747699999999254,2017-12-13,60 days,33 days
133,2018-01-16,2018-01-17,-0.0031725,2018-01-16,1 days,1 days
134,2018-01-24,2018-01-29,-0.0014852000000001864,2018-01-25,5 days,4 days
135,2018-01-30,2018-02-20,-0.03462419999999972,2018-02-02,21 days,18 days
136,2018-02-21,2018-03-06,-0.0193295,2018-03-01,13 days,5 days
137,2018-03-08,2018-09-11,-0.07874889999999991,2018-04-05,187 days,159 days
138,2018-09-12,2018-09-24,-0.02980525,2018-09-17,12 days,7 days
139,2018-09-25,2018-09-27,-0.00754375,2018-09-25,2 days,2 days
140,2018-10-01,2018-10-03,-0.0097825,2018-10-01,2 days,2 days
141,2018-10-08,2018-10-09,-0.0028983500000000933,2018-10-08,1 days,1 days
142,2018-10-10,2018-10-11,-0.013772850000000093,2018-10-10,1 days,1 days
143,2018-10-12,2020-03-12,-0.20968854999999795,2020-01-24,517 days,48 days
144,2020-03-13,2020-03-16,-0.03124789999999991,2020-03-13,3 days,3 days
145,2020-03-20,2020-03-23,-0.04603080000000028,2020-03-20,3 days,3 days
146,2020-03-24,2020-05-18,-0.2910013000000003,2020-04-08,55 days,40 days
