Dates,Open,High,Low,Close,Volume,roc_1,roc_2,roc_3,roc_average,roc_indicator,Signal,Trades
02-07-2001,1113.95,1117.1,1102,1102,0,0.001904938,-0.002801688,-0.000549146,-0.000481965,0,0,0
03-07-2001,1102,1102,1073,1073,0,-0.001968846,-0.003858364,-0.001471362,-0.002432857,0,0,0
04-07-2001,1073,1077.25,1065,1072.1,0,-0.001876258,-0.003434516,-0.001352126,-0.002220967,0,0,0
05-07-2001,1075,1080,1071.6,1074,0,-0.001490484,-0.003216029,-0.001214732,-0.001973748,0,0,0
06-07-2001,1070,1070.05,1064.1,1069.2,0,-0.00158774,-0.002272406,-0.001208278,-0.001689475,0,0,0
09-07-2001,1063,1064,1056.1,1060.25,0,-0.00079068,-0.00218626,-0.001407432,-0.001461457,0,0,0
10-07-2001,1064,1078,1063,1075.75,0,-0.001852105,-0.001558047,-0.001041203,-0.001483785,-1,-1,-1
11-07-2001,1071.25,1082.7,1071.25,1079.1,0,-0.001321384,-0.001312181,-0.001032783,-0.001222116,-1,-1,0
12-07-2001,1084,1103,1084,1102,0,0.000731261,-0.000437982,-0.001045561,-0.000250761,1,1,2
13-07-2001,1103.7,1115,1095.15,1098.3,0,-0.001409336,-0.001048012,-0.001058334,-0.001171894,0,0,-1
16-07-2001,1099,1103.7,1096.35,1097.35,0,-0.00042196,-0.001031605,-0.001065477,-0.000839681,1,1,1
17-07-2001,1094,1101.95,1092.2,1098,0,0.002329916,-0.000913096,-0.001200798,7.20E-05,1,1,0
18-07-2001,1100,1103.45,1088.25,1090.7,0,0.001734913,-0.001262597,-0.001640538,-0.000389407,1,1,0
19-07-2001,1083,1093.4,1083,1090.5,0,0.001536313,-0.000629992,-0.001613768,-0.000235816,1,1,0
20-07-2001,1093.9,1093.9,1075.1,1076.85,0,0.000715488,-0.000556751,-0.001984483,-0.000608582,1,1,0
23-07-2001,1068.35,1075.35,1068,1075.15,0,0.001405329,-0.000231182,-0.002317511,-0.000381121,1,1,0
24-07-2001,1070.75,1076.8,1067.05,1074.95,0,-7.44E-05,-0.000716276,-0.002370427,-0.00105369,1,1,0
25-07-2001,1069.5,1074.2,1064.1,1065.3,0,-0.001278843,-0.000999451,-0.002291525,-0.001523273,0,0,-1
26-07-2001,1066,1066.5,1053.5,1054.5,0,-0.004310345,-0.001311626,-0.002427434,-0.002683135,0,0,0
27-07-2001,1059,1067.9,1055,1056.8,0,-0.003778567,-0.001091629,-0.001693719,-0.002187972,0,0,0
30-07-2001,1057,1063.4,1055.6,1062.4,0,-0.003184946,-0.000235801,-0.001318488,-0.001579745,0,0,0
31-07-2001,1063.05,1069.5,1055.5,1068.05,0,-0.002727687,-0.001021851,-0.001145754,-0.001631764,0,0,0
01-08-2001,1072,1072.45,1059,1060,0,-0.002814706,-0.001227196,-0.001248095,-0.001763332,0,0,0
02-08-2001,1062,1070.4,1059,1069.15,0,-0.001957818,-0.000908592,-0.001010815,-0.001292408,0,0,0
03-08-2001,1071,1074.4,1067.6,1073.05,0,-0.000352881,-0.001470377,-0.001214701,-0.001012653,0,0,0
06-08-2001,1072.9,1077,1070,1071.2,0,-0.000367391,-0.001117967,-0.001225142,-0.0009035,1,1,1
07-08-2001,1069,1072.5,1067.8,1068.45,0,-0.000604679,-0.000169618,-0.00122814,-0.000667479,0,0,-1
08-08-2001,1067.5,1068.5,1063.25,1064.85,0,-4.22E-05,-0.000270497,-0.00136293,-0.000558556,1,1,1
09-08-2001,1062,1067.9,1060.05,1066.1,0,0.001100047,-0.000294227,-0.000944312,-4.62E-05,1,1,0
10-08-2001,1068.3,1070,1065.6,1066.65,0,0.000932059,-9.54E-05,-0.000581475,8.51E-05,1,1,0
13-08-2001,1068,1069.8,1063.1,1063.9,0,0.00014119,0.000137703,-0.000404568,-4.19E-05,1,1,0
14-08-2001,1065.25,1076.45,1065,1075.35,0,0.000683489,-1.49E-05,-0.000438536,7.67E-05,1,1,0
16-08-2001,1074,1079.75,1072.65,1076.85,0,0.001589623,-8.34E-05,-0.000360379,0.000381947,1,1,0
17-08-2001,1078,1079.35,1070.5,1071.4,0,0.000210448,-0.001110708,-0.00043224,-0.000444167,0,0,-1
20-08-2001,1067,1068.4,1065.1,1067.1,0,-0.000554494,-0.001136302,-0.000445257,-0.000712018,0,0,0
21-08-2001,1068.1,1070.8,1066.25,1068.15,0,-0.000284727,-0.001064382,-1.29E-05,-0.000453992,0,0,0
23-08-2001,1069.85,1070.6,1066.25,1069.95,0,0.00014039,-0.001021858,-0.00059532,-0.000492262,0,0,0
24-08-2001,1069,1071.9,1066.1,1070.3,0,0.000511809,-0.000748143,-0.000531526,-0.000255953,0,0,0
27-08-2001,1072.25,1075.5,1072.25,1073.05,0,0.000651909,-0.000640073,-0.000478748,-0.000155637,0,0,0
28-08-2001,1072.3,1074.05,1070.5,1070.9,0,0.000398444,-0.000221015,-0.000967235,-0.000263269,1,1,1
29-08-2001,1069.6,1072.6,1068,1069.25,0,0.000502867,-0.000219504,-0.000742967,-0.000153202,1,1,0
30-08-2001,1067.9,1070.65,1063.5,1064.15,0,-0.001041521,-0.000401879,-0.000206198,-0.000549866,-1,-1,-2
31-08-2001,1066.6,1066.6,1058.35,1059,0,-0.001657612,-0.000236553,-0.000305475,-0.000733214,0,0,1
03-09-2001,1058.05,1061.9,1052.2,1052.9,0,-0.001726713,-6.07E-05,-0.000491155,-0.00075952,0,0,0
04-09-2001,1052.8,1059.45,1050.1,1055.75,0,-0.00106363,-3.97E-05,-0.000314487,-0.00047262,0,0,0
