Dates,0,1,2,3,4,5,6,7
2006-12-04,162.39999999999964,42.0,2124.199999999998,1035.7999999999984,1738.199999999998,1.2220688068116445,0.5959038085375673,0.6261649982740772
2006-12-05,34.0,167.39999999999964,1867.5499999999984,1194.199999999998,1608.5499999999984,1.1610145783469585,0.7424077585402998,0.4186068198066587
2006-12-06,90.0,157.75,1541.7999999999984,1316.2999999999984,1519.0999999999985,1.014943058389836,0.8664999012573231,0.14844315713251288
2006-12-07,98.75,129.75,1470.5499999999984,1245.2999999999984,1463.8499999999985,1.0045769716842572,0.8507019161799362,0.153875055504321
2006-12-08,139.39999999999964,94.0,1589.949999999998,1054.2999999999984,1406.699999999998,1.1302694248951448,0.7494846093694462,0.38078481552569865
2006-12-11,19.0,614.6499999999996,1413.949999999998,1618.949999999998,1826.1499999999978,0.7742792213125974,0.8865372504996851,-0.11225802918708772
2006-12-12,120.0,810.0,1366.949999999998,2428.949999999998,2167.949999999998,0.6305265342835394,1.1203902304019928,-0.4898636961184534
2006-12-13,314.89999999999964,378.0,1617.8499999999976,2710.949999999998,2342.8499999999976,0.6905478370360882,1.1571163326717462,-0.46656849563565794
2006-12-14,413.0,15.100000000000364,1921.949999999998,2685.0499999999984,2435.949999999998,0.7889940269709967,1.1022598986021883,-0.3132658716311916
2006-12-15,220.0,0.0500000000001819,2049.949999999998,2649.499999999999,2488.3499999999976,0.8238189965238009,1.0647617899411264,-0.2409427934173255
2006-12-18,144.94999999999982,160.0,2191.199999999998,2674.499999999999,2598.7999999999975,0.8431583807911345,1.0291288286901654,-0.18597044789903094
2006-12-19,187.0,244.0,2258.2999999999984,2882.5999999999995,2744.0999999999985,0.8229656353631426,1.0504719215772023,-0.22750628621405966
2006-12-20,168.0,212.0,2323.3999999999987,3029.7,2824.8999999999987,0.8224715919147579,1.0724981415271342,-0.25002654961237625
2006-12-21,51.05000000000018,232.89999999999964,2162.449999999999,3257.5999999999995,2776.1499999999987,0.7789384579363506,1.17342362624498,-0.39448516830862934
2006-12-22,128.89999999999964,51.05000000000018,2128.949999999999,3266.6499999999996,2758.749999999999,0.7717082011780696,1.1841051200724968,-0.4123969188944272
2006-12-26,160.0,59.94999999999982,2254.949999999999,3159.2,2794.699999999999,0.8068665688624896,1.1304254481697502,-0.32355887930726057
