Dates,PNL,%PNL,Equity,EOD Position,DD
2011-01-19,7006.5,0.0070065,2450777.2,-1.0,-0.043530750000000465
2011-01-20,-4714.2,-0.004714200000000059,2446063.0,-1.0,-0.04824495000000019
2011-01-21,2859.3,0.002859299999999941,2448922.3,-1.0,-0.045385650000000374
2011-01-24,-6455.7,-0.0064556999999999115,2442466.6,-1.0,-0.051841350000000556
2011-01-25,0.0,0.0,2442466.6,0.0,-0.051841350000000556
2011-01-27,0.0,0.0,2442466.6,-1.0,-0.051841350000000556
2011-01-28,10975.5,0.0109755,2453442.1,-1.0,-0.04086585000000056
2011-01-31,2353.0,0.002353,2455795.1,-1.0,-0.038512850000000556
2011-02-01,0.0,0.0,2455795.1,-1.0,-0.038512850000000556
2011-02-02,-2416.35,-0.0024163500000000658,2453378.75,-1.0,-0.040929200000000186
2011-02-03,-17457.45,-0.017457449999999968,2435921.3,-1.0,-0.05838665000000037
2011-02-04,0.0,0.0,2435921.3,-1.0,-0.05838665000000037
2011-02-07,-1276.05,-0.0012760500000000329,2434645.25,-1.0,-0.059662700000000186
2011-02-08,14407.6,0.014407600000000065,2449052.85,-1.0,-0.04525510000000056
2011-02-09,9683.5,0.0096835,2458736.35,-1.0,-0.03557160000000056
2011-02-10,5574.8,0.0055748000000000325,2464311.15,-1.0,-0.029996800000000278
2011-02-11,-15801.3,-0.015801300000000032,2448509.85,-1.0,-0.045798100000000556
2011-02-14,-25014.2,-0.02501419999999997,2423495.65,-1.0,-0.07081230000000029
2011-02-15,0.0,0.0,2423495.65,1.0,-0.07081230000000029
2011-02-16,1656.15,0.0016561499999999342,2425151.8,1.0,-0.06915615000000037
2011-02-17,11050.05,0.011050050000000032,2436201.85,1.0,-0.058106100000000556
2011-02-18,-16769.65,-0.0167696500000001,2419432.2,1.0,-0.07487575000000046
2011-02-21,13484.5,0.0134845,2432916.7,1.0,-0.061391250000000466
2011-02-22,-10461.8,-0.010461799999999868,2422454.9,1.0,-0.07185305000000028
2011-02-23,-6262.6,-0.006262600000000066,2416192.3,1.0,-0.07811565000000037
2011-02-24,-31322.05,-0.03132205000000003,2384870.25,1.0,-0.1094377000000002
2011-02-25,9249.1,0.009249100000000066,2394119.35,1.0,-0.10018860000000056
2011-02-28,4525.4,0.004525399999999966,2398644.75,1.0,-0.09566320000000018
2011-03-01,38493.95,0.03849395000000007,2437138.7,1.0,-0.05716925000000046
2011-03-03,158.95,0.00015894999999989796,2437297.65,1.0,-0.05701030000000074
2011-03-04,-1636.25,-0.00163625,2435661.4,1.0,-0.05864655000000075
2011-03-07,-11285.45,-0.011285449999999898,2424375.95,1.0,-0.06993200000000047
2011-03-08,11341.55,0.011341549999999931,2435717.5,1.0,-0.05859045000000019
2011-03-09,1037.85,0.001037850000000034,2436755.35,1.0,-0.05755260000000056
2011-03-10,-6947.05,-0.006947050000000102,2429808.3,1.0,-0.06449965000000037
2011-03-11,-8424.35,-0.008424349999999864,2421383.95,1.0,-0.072924
2011-03-14,17895.9,0.017895899999999965,2439279.85,1.0,-0.05502810000000056
2011-03-15,-20139.9,-0.020139899999999964,2419139.95,1.0,-0.075168
2011-03-16,14258.75,0.01425875,2433398.7,1.0,-0.06090925
2011-03-17,0.0,0.0,2433398.7,0.0,-0.06090925
2011-03-18,0.0,0.0,2433398.7,0.0,-0.06090925
2011-03-21,0.0,0.0,2433398.7,0.0,-0.06090925
2011-03-22,0.0,0.0,2433398.7,0.0,-0.06090925
2011-03-23,0.0,0.0,2433398.7,0.0,-0.06090925
2011-03-24,0.0,0.0,2433398.7,1.0,-0.06090925
2011-03-25,25226.3,0.02522629999999993,2458625.0,1.0,-0.035682950000000185
2011-03-28,3543.65,0.003543649999999966,2462168.65,1.0,-0.03213930000000028
2011-03-29,9686.6,0.009686600000000035,2471855.25,1.0,-0.022452700000000186
2011-03-30,8966.65,0.008966649999999965,2480821.9,1.0,-0.013486050000000279
2011-03-31,5873.85,0.005873850000000062,2486695.75,1.0,-0.007612200000000186
2011-04-01,4719.6,0.0047196000000000625,2491415.35,1.0,-0.002892600000000093
2011-04-04,14013.45,0.014013449999999967,2505428.8,1.0,0.0
2011-04-05,-1829.7,-0.0018296999999999689,2503599.1,1.0,-0.0018296999999997206
2011-04-06,-3702.15,-0.003702150000000093,2499896.95,1.0,-0.0055318499999996275
2011-04-07,-1530.45,-0.0015304499999999688,2498366.5,1.0,-0.007062299999999814
2011-04-08,-8054.1,-0.008054100000000062,2490312.4,1.0,-0.015116399999999907
2011-04-11,-8763.75,-0.00876375,2481548.65,1.0,-0.023880149999999906
2011-04-13,0.0,0.0,2481548.65,1.0,-0.023880149999999906
2011-04-15,-17775.45,-0.017775450000000123,2463773.2,1.0,-0.04165560000000009
2011-04-18,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-04-19,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-04-20,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-04-21,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-04-25,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-04-26,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-04-27,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-04-28,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-04-29,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-05-02,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-05-03,0.0,0.0,2463773.2,0.0,-0.04165560000000009
2011-05-04,0.0,0.0,2463773.2,-1.0,-0.04165560000000009
2011-05-05,13779.45,0.013779450000000096,2477552.65,-1.0,-0.027876149999999905
2011-05-06,-16711.8,-0.01671180000000006,2460840.85,-1.0,-0.04458795000000019
2011-05-09,-631.45,-0.0006314499999999371,2460209.4,-1.0,-0.04521939999999991
2011-05-10,2223.05,0.0022230499999999057,2462432.45,-1.0,-0.04299635000000009
2011-05-11,-3261.05,-0.0032610499999999056,2459171.4,-1.0,-0.04625739999999991
2011-05-12,14410.9,0.014410899999999874,2473582.3,-1.0,-0.0318465
2011-05-13,-13416.15,-0.013416149999999873,2460166.15,-1.0,-0.045262649999999904
2011-05-16,12144.6,0.012144599999999969,2472310.75,-1.0,-0.033118049999999816
2011-05-17,7144.9,0.007144900000000031,2479455.65,-1.0,-0.025973149999999907
2011-05-18,4039.55,0.004039549999999906,2483495.2,-1.0,-0.021933600000000095
2011-05-19,-129.75,-0.00012975,2483365.45,-1.0,-0.022063350000000093
2011-05-20,0.0,0.0,2483365.45,0.0,-0.022063350000000093
2011-05-23,0.0,0.0,2483365.45,-1.0,-0.022063350000000093
2011-05-24,-761.2,-0.0007612000000000944,2482604.25,-1.0,-0.02282455000000028
2011-05-25,6643.2,0.006643200000000095,2489247.45,-1.0,-0.016181350000000094
2011-05-26,-10881.7,-0.010881700000000095,2478365.75,-1.0,-0.02706305000000028
2011-05-27,0.0,0.0,2478365.75,0.0,-0.02706305000000028
